Supermarket,Category,Product Title,Product Price,Base Price,Per unit,Product URL
Woolworths,Meat and Seafood,Cooke Seafood Smoked Salmon 100g,8.0,80.0,1KG,https://www.woolworths.com.au/shop/productdetails/804567/cooke-seafood-smoked-salmon
Woolworths,Meat and Seafood,Woolworths RSPCA Approved Chicken Breast Fillet Min. 300g per kg,12.0,12.0,1KG,https://www.woolworths.com.au/shop/productdetails/25734/woolworths-rspca-approved-chicken-breast-fillet-min-300g
Woolworths,Meat and Seafood,Woolworths Heart Smart Extra Lean Beef Mince 500g,10.0,20.0,1KG,https://www.woolworths.com.au/shop/productdetails/577860/woolworths-heart-smart-extra-lean-beef-mince
Woolworths,Meat and Seafood,Woolworths RSPCA Approved Chicken Thigh Fillet per kg,15.0,15.0,1KG,https://www.woolworths.com.au/shop/productdetails/77038/woolworths-rspca-approved-chicken-thigh-fillet
Woolworths,Meat and Seafood,Champagne Leg Ham Shaved From The Deli Per Kg,23.5,23.5,1KG,https://www.woolworths.com.au/shop/productdetails/129693/champagne-leg-ham-shaved-from-the-deli
Woolworths,Meat and Seafood,Woolworths Lean Beef Mince 1kg,16.0,16.0,1KG,https://www.woolworths.com.au/shop/productdetails/577862/woolworths-lean-beef-mince
Woolworths,Meat and Seafood,Woolworths Beef Mince 1kg,12.0,12.0,1KG,https://www.woolworths.com.au/shop/productdetails/577864/woolworths-beef-mince
Woolworths,Meat and Seafood,D'Orsogna Middle Bacon Per Kg,19.0,19.0,1KG,https://www.woolworths.com.au/shop/productdetails/71859/d-orsogna-middle-bacon
Woolworths,Meat and Seafood,Woolworths Lean Beef Mince 500g,9.0,18.0,1KG,https://www.woolworths.com.au/shop/productdetails/577861/woolworths-lean-beef-mince
Woolworths,Meat and Seafood,D'Orsogna Ham Leg Triple Smoked 97% Fat Free Shaved 1kg,26.0,26.0,1KG,https://www.woolworths.com.au/shop/productdetails/175734/d-orsogna-ham-leg-triple-smoked-97-fat-free-shaved
Woolworths,Meat and Seafood,Deli Leg Ham Shaved From The Deli Per Kg,19.5,19.5,1KG,https://www.woolworths.com.au/shop/productdetails/130276/deli-leg-ham-shaved-from-the-deli
Woolworths,Meat and Seafood,Woolworths 10 Beef Sausages 550g,5.9,10.73,1KG,https://www.woolworths.com.au/shop/productdetails/901649/woolworths-10-beef-sausages
Woolworths,Meat and Seafood,Woolworths Chicken Kyiv Garlic each,3.0,3.0,1EA,https://www.woolworths.com.au/shop/productdetails/769243/woolworths-chicken-kyiv-garlic
Woolworths,Meat and Seafood,D'Orsogna Plain Streaky Bacon From The Deli Per Kg,23.0,23.0,1KG,https://www.woolworths.com.au/shop/productdetails/746376/d-orsogna-plain-streaky-bacon-from-the-deli
Woolworths,Meat and Seafood,Woolworths Beef Mince 500g,7.0,14.0,1KG,https://www.woolworths.com.au/shop/productdetails/577863/woolworths-beef-mince
Woolworths,Meat and Seafood,Woolworths RSPCA Approved Chicken Breast Fillet 1.1kg - 1.65kg,18.15,11.0,1KG,https://www.woolworths.com.au/shop/productdetails/964093/woolworths-rspca-approved-chicken-breast-fillet
Woolworths,Meat and Seafood,Market Value 26 Thin BBQ Sausages 1.8kg,11.0,6.11,1KG,https://www.woolworths.com.au/shop/productdetails/901719/market-value-26-thin-bbq-sausages
Woolworths,Meat and Seafood,Woolworths Beef Stir Fry 500g,10.5,21.0,1KG,https://www.woolworths.com.au/shop/productdetails/531015/woolworths-beef-stir-fry
Woolworths,Meat and Seafood,Don Melosi Leg Ham Shaved From The Deli per kg,32.5,32.5,1KG,https://www.woolworths.com.au/shop/productdetails/6001529/don-melosi-leg-ham-shaved-from-the-deli
Woolworths,Meat and Seafood,Woolworths Pork & Beef Mince 500g,6.5,13.0,1KG,https://www.woolworths.com.au/shop/productdetails/239598/woolworths-pork-beef-mince
Woolworths,Meat and Seafood,Woolworths Shortcut Bacon 1kg,11.7,11.7,1KG,https://www.woolworths.com.au/shop/productdetails/55375/woolworths-shortcut-bacon
Woolworths,Meat and Seafood,D'Orsogna Premium Ham Off The Bone Shaved From The Deli Per Kg,35.0,35.0,1KG,https://www.woolworths.com.au/shop/productdetails/937258/d-orsogna-premium-ham-off-the-bone-shaved-from-the-deli
Woolworths,Meat and Seafood,Woolworths Beef Porterhouse Steak & Butter 400g,16.0,40.0,1KG,https://www.woolworths.com.au/shop/productdetails/243050/woolworths-beef-porterhouse-steak-butter
