Supermarket,Category,Product Title,Product Price,$ per kg/L,$ per piece,Base Price,Per unit,Product URL,Product Sale
Woolworths,Freezer,Sara Lee Mini Cups Sticky Date Pudding 4 pack,9.00,32.10,,3.21,100G,https://www.woolworths.com.au/shop/productdetails/6064974/sara-lee-mini-cups-sticky-date-pudding,
Woolworths,Freezer,Pistachio Papi Ooozy Blondie Raspberry & Pistachio 430g,18.00,41.90,,4.19,100G,https://www.woolworths.com.au/shop/productdetails/6069737/pistachio-papi-ooozy-blondie-raspberry-pistachio,
Woolworths,Freezer,FroPro Protein Lava Cake Caramel 230g 2 pack,12.95,56.30,,5.63,100G,https://www.woolworths.com.au/shop/productdetails/6066342/fropro-protein-lava-cake-caramel,
Woolworths,Freezer,Bomberry Dark & White Chocolate Raspberries 150g,11.90,79.30,,7.93,100G,https://www.woolworths.com.au/shop/productdetails/6067986/bomberry-dark-white-chocolate-raspberries,
Woolworths,Freezer,Borg's Puff Pastry Roll 300g,2.50,8.30,,0.83,100G,https://www.woolworths.com.au/shop/productdetails/6064914/borg-s-puff-pastry-roll,
Woolworths,Freezer,Sara Lee Mini Cups Chocolate Bavarian 4 pack,9.00,28.10,,2.81,100G,https://www.woolworths.com.au/shop/productdetails/6064652/sara-lee-mini-cups-chocolate-bavarian,
Woolworths,Freezer,Pistachio Papi Ooozy Mudcake Milk Choc & Pistachio 430g,18.00,41.90,,4.19,100G,https://www.woolworths.com.au/shop/productdetails/6070058/pistachio-papi-ooozy-mudcake-milk-choc-pistachio,
Woolworths,Freezer,Bomberry Milk & White Chocolate Raspberries 150g,11.90,79.30,,7.93,100G,https://www.woolworths.com.au/shop/productdetails/6069237/bomberry-milk-white-chocolate-raspberries,
Woolworths,Freezer,FroPro Protein Lava Cake Double Chocolate 230g 2 pack,12.95,56.30,,5.63,100G,https://www.woolworths.com.au/shop/productdetails/6066647/fropro-protein-lava-cake-double-chocolate,
Woolworths,Freezer,Sara Lee Mini Cups French Vanilla Cheesecake 4 pack,9.00,28.10,,2.81,100G,https://www.woolworths.com.au/shop/productdetails/6065443/sara-lee-mini-cups-french-vanilla-cheesecake,
Woolworths,Freezer,Borg's Shortcrust Pastry Roll 300g,2.50,8.30,,0.83,100G,https://www.woolworths.com.au/shop/productdetails/6065153/borg-s-shortcrust-pastry-roll,
Woolworths,Freezer,Amazonia Acai Cubes Original 400g,9.00,22.50,,22.5,1KG,https://www.woolworths.com.au/shop/productdetails/6070198/amazonia-acai-cubes-original,
Woolworths,Freezer,Bomberry Milk & White Chocolate Blueberries 150g,11.90,79.30,,7.93,100G,https://www.woolworths.com.au/shop/productdetails/6066246/bomberry-milk-white-chocolate-blueberries,
Woolworths,Freezer,Sara Lee Mini Cups Golden Apple Crumble 4 pack,9.00,25.00,,2.5,100G,https://www.woolworths.com.au/shop/productdetails/6064049/sara-lee-mini-cups-golden-apple-crumble,
Woolworths,Freezer,Sara Lee French Vanilla Cheesecake 400g,9.00,22.50,,2.25,100G,https://www.woolworths.com.au/shop/productdetails/6071279/sara-lee-french-vanilla-cheesecake,
Woolworths,Freezer,McCain Pizza Slice Snacks Meatlovers 2 pack,9.80,16.30,,1.63,100G,https://www.woolworths.com.au/shop/productdetails/112492/mccain-pizza-slice-snacks-meatlovers-meatlovers,
Woolworths,Freezer,McCain Mixed Vegetables Peas Corn & Carrot 500g,4.50,9.00,,9.0,1KG,https://www.woolworths.com.au/shop/productdetails/54233/mccain-mixed-vegetables-peas-corn-carrot,
Woolworths,Freezer,McCain Pizza Pocket Snacks Cheese & Bacon 4 pack,8.50,21.30,,2.13,100G,https://www.woolworths.com.au/shop/productdetails/139610/mccain-pizza-pocket-snacks-cheese-bacon,
Woolworths,Freezer,McCain Peas Baby 500g,4.50,9.00,,9.0,1KG,https://www.woolworths.com.au/shop/productdetails/18574/mccain-peas-baby,
Woolworths,Freezer,Woolworths Frozen Mixed Berries 1kg,12.00,12.00,,12.0,1KG,https://www.woolworths.com.au/shop/productdetails/586517/woolworths-frozen-mixed-berries,
Woolworths,Freezer,Bell Farms Chopped Spinach 250g,1.00,4.00,,4.0,1KG,https://www.woolworths.com.au/shop/productdetails/516857/bell-farms-chopped-spinach,
Woolworths,Freezer,Woolworths Puff Pastry Sheets 1kg,3.80,3.80,,0.38,100G,https://www.woolworths.com.au/shop/productdetails/18366/woolworths-puff-pastry-sheets,
Woolworths,Freezer,McCain Pizza Slice Snacks Cheese & Bacon 2 pack,9.80,16.30,,1.63,100G,https://www.woolworths.com.au/shop/productdetails/112352/mccain-pizza-slice-snacks-cheese-bacon,
Woolworths,Freezer,McCain Pizza Pocket Snacks Hawaiian 4 pack,8.50,21.30,,2.13,100G,https://www.woolworths.com.au/shop/productdetails/78067/mccain-pizza-pocket-snacks-hawaiian,
Woolworths,Freezer,On The Menu Beef Ragu Pappardelle Pasta Pasta 260g,3.90,15.00,,1.5,100G,https://www.woolworths.com.au/shop/productdetails/574780/on-the-menu-beef-ragu-pappardelle-pasta-pasta,
Woolworths,Freezer,McCain Lil Pizzas Snacks Cheesy Margherita 4 pack,6.20,16.30,,1.63,100G,https://www.woolworths.com.au/shop/productdetails/166922/mccain-lil-pizzas-snacks-cheesy-margherita,*ON SALE* Save $1.60
Woolworths,Freezer,Woolworths Frozen Blueberries 500g,6.50,13.00,,13.0,1KG,https://www.woolworths.com.au/shop/productdetails/260007/woolworths-frozen-blueberries,
Woolworths,Freezer,Woolworths Frozen Raspberries 500g,8.00,16.00,,16.0,1KG,https://www.woolworths.com.au/shop/productdetails/260004/woolworths-frozen-raspberries,
Woolworths,Freezer,Woolworths Broccoli Florets 500g,4.00,8.00,,8.0,1KG,https://www.woolworths.com.au/shop/productdetails/768559/woolworths-broccoli-florets,
Woolworths,Freezer,Woolworths Prep Set Go Diced Frozen Onions 500g,3.00,6.00,,6.0,1KG,https://www.woolworths.com.au/shop/productdetails/61998/woolworths-prep-set-go-diced-frozen-onions,
Woolworths,Freezer,Woolworths Frozen Mango 1kg,9.80,9.80,,9.8,1KG,https://www.woolworths.com.au/shop/productdetails/820796/woolworths-frozen-mango,
Woolworths,Freezer,Essentials Frozen Mixed Vegetables 1kg,2.80,2.80,,2.8,1KG,https://www.woolworths.com.au/shop/productdetails/93915/essentials-frozen-mixed-vegetables,
Woolworths,Freezer,Woolworths Carrots Peas & Corn 1kg,5.00,5.00,,5.0,1KG,https://www.woolworths.com.au/shop/productdetails/768569/woolworths-carrots-peas-corn,
Woolworths,Freezer,Essentials Frozen Peas 1kg,2.50,2.50,,2.5,1KG,https://www.woolworths.com.au/shop/productdetails/96845/essentials-frozen-peas,
Woolworths,Freezer,Woolworths Frozen Blueberries 1kg,12.00,12.00,,12.0,1KG,https://www.woolworths.com.au/shop/productdetails/586516/woolworths-frozen-blueberries,
Woolworths,Freezer,Woolworths Frozen Australian Peas 1kg,3.80,3.80,,3.8,1KG,https://www.woolworths.com.au/shop/productdetails/754169/woolworths-frozen-australian-peas,
Woolworths,Freezer,Woolworths Frozen Strawberries 500g,6.50,13.00,,13.0,1KG,https://www.woolworths.com.au/shop/productdetails/777899/woolworths-frozen-strawberries,
Woolworths,Freezer,Woolworths Frozen Sliced Beans 500g,2.80,5.60,,5.6,1KG,https://www.woolworths.com.au/shop/productdetails/768558/woolworths-frozen-sliced-beans,
Woolworths,Freezer,Woolworths Potato Minis 1kg,5.00,5.00,,5.0,1KG,https://www.woolworths.com.au/shop/productdetails/695650/woolworths-potato-minis,
Woolworths,Freezer,Woolworths Winter Veg Mix 1kg,5.20,5.20,,5.2,1KG,https://www.woolworths.com.au/shop/productdetails/768567/woolworths-winter-veg-mix,
Woolworths,Freezer,Creative Gourmet Frozen Banana Chunks 500g,4.50,9.00,,9.0,1KG,https://www.woolworths.com.au/shop/productdetails/532199/creative-gourmet-frozen-banana-chunks,*ON SALE* Save $0.50
Woolworths,Freezer,Umami Edamame Salad 200g,2.50,12.50,,12.5,1KG,https://www.woolworths.com.au/shop/productdetails/658326/umami-edamame-salad,
Woolworths,Freezer,Woolworths Broccoli & Cauliflower 500g,4.00,8.00,,8.0,1KG,https://www.woolworths.com.au/shop/productdetails/768561/woolworths-broccoli-cauliflower,
Woolworths,Freezer,Golden Gaytime Original Ice Cream Sticks 4 pack,10.00,25.00,,2.5,100ML,https://www.woolworths.com.au/shop/productdetails/169430/golden-gaytime-original-ice-cream-sticks-sticks,
Woolworths,Freezer,McCain Hash Browns Shredded 750g,5.80,7.73,,7.73,1KG,https://www.woolworths.com.au/shop/productdetails/98299/mccain-hash-browns-shredded,
